科目,問題,選択肢,正解,解説
英語,次の空欄に入る最も適切な語を選びなさい。 Not only (　　) the piano, but she also plays the violin beautifully.,does she play|she plays|plays she|did she played,does she play,"【倒置】否定語（Not only）が文頭に出ると、後ろの文は「疑問文の語順（倒置）」になります。「she plays」ではなく「does she play」が正解。私大頻出です。"
英語,次の空欄に入る最も適切な語を選びなさい。 The manager demanded that the new system (　　) immediately.,is installed|was installed|be installed|installed,be installed,"【仮定法現在】要求・提案などを表す動詞（demand, suggest等）の後のthat節内は「(should)＋動詞の原形」になります。isやwasは不可。"
英語,次の空欄に入る最も適切な語を選びなさい。 I would rather you (　　) me the truth yesterday.,tell|told|had told|have told,had told,"【仮定法】「would rather ＋ S ＋ 過去形/過去完了形」。「昨日〜してほしかった」と過去の事実に反する願望なので、過去完了形の had told を使います。"
英語,次の空欄に入る最も適切な語を選びなさい。 There is no (　　) what will happen tomorrow.,know|knowing|to know|known,knowing,"【動名詞の慣用表現】「There is no -ing」で「〜することはできない」。It is impossible to know と同じ意味になります。"
英語,次の空欄に入る最も適切な語を選びなさい。 He was seen (　　) into the building right before the incident.,to enter|enter|entered|having entered,to enter,"【知覚動詞の受動態】see O do（Oが〜するのを見る）を受動態（be seen）にすると、原形不定詞がto不定詞（to do）に変わります。非常によく狙われる引っかけです。"
英語,次の空欄に入る最も適切な語を選びなさい。 (　　) all the circumstances, he cannot be strictly blamed.,Considered|Considering|To consider|Consider,Considering,"【独立分詞構文】「Considering 〜」で「〜を考慮すると」という慣用的な分詞構文です。主語が誰であっても能動態の -ing の形を取ります。"
英語,次の空欄に入る最も適切な語を選びなさい。 The population of Tokyo is larger than (　　) of Osaka.,that|those|it|one,that,"【代名詞】比較対象を揃えるため「The population of Osaka」の反復を避ける代名詞「that」を使います。単数形なのでthoseではなくthatです。"
英語,次の空欄に入る最も適切な語を選びなさい。 He is the last person (　　) a lie.,to tell|telling|told|who tell,to tell,"【不定詞】「the last person to do」で「最も〜しそうにない人（決して〜しない人）」という意味の重要イディオムです。"
英語,次の文の言い換えとして最も適切なものを選びなさい。 She was so kind as to help me with my homework.,She was enough kind to help me with my homework.|She was kind enough to help me with my homework.|She was too kind to help me with my homework.|She kindly enough helped me with my homework.,She was kind enough to help me with my homework.,"【構文の書き換え】「so 形容詞 as to do」＝「形容詞 enough to do（〜するほど十分…だ）」。enoughは形容詞の後ろに置く点に注意。"
英語,次の空欄に入る最も適切な語を選びなさい。 It has been ten years (　　) my grandfather passed away.,when|since|from|that,since,"【時制と接続詞】「It has been 期間 since S ＋ 過去形」で「Sが〜してから（期間）になる」。定番の構文です。"
国語,次の漢字の正しい読み方を選びなさい。 「造詣」が深い。,ぞうし|ぞうけい|ぞうき|そうけい,ぞうけい,"【漢字の読み】造詣（ぞうけい）：学問や芸術などの分野に広く深い知識や理解があること。"
国語,次の四字熟語の空欄に入る漢字を選びなさい。 「牽強（　）会」,不|布|付|普,付,"【四字熟語】牽強付会（けんきょうふかい）：自分の都合のいいように、無理やり理屈をこじつけること。「付」の字に注意。"
国語,次の古文単語「いとほし」の最も適切な現代語訳を選びなさい。,かわいらしい|気の毒だ|おそろしい|すばらしい,気の毒だ,"【古文単語】「いとほし」は、現代語の「愛おしい」とは異なり、古文では「かわいそう、気の毒だ」という意味で使われることが多い重要単語です。"
国語,次の文学史の組み合わせのうち、正しいものを選びなさい。,紫式部 - 枕草子|清少納言 - 源氏物語|鴨長明 - 方丈記|吉田兼好 - 宇治拾遺物語,鴨長明 - 方丈記,"【文学史】紫式部＝源氏物語、清少納言＝枕草子、吉田兼好＝徒然草。鴨長明の「方丈記」は鎌倉時代の随筆として必修です。"
国語,次の意味を持つ慣用句を選びなさい。 「人の意見や忠告を全く聞き入れないこと」,馬の耳に念仏|猫に小判|豚に真珠|犬の遠吠え,馬の耳に念仏,"【慣用句】「馬の耳に念仏」は、いくら意見を言っても効き目がないことの例え。「猫に小判」「豚に真珠」は価値がわからないことの例えです。"
国語,次の古文単語「ありがたし」の最も適切な現代語訳を選びなさい。,感謝している|めったにない|尊い|難しい,めったにない,"【古文単語】「有り難し」は文字通り「有ることが難しい＝めったにない」が本義です。"
国語,次の文章の空欄に入る最も適切な接続詞を選びなさい。 彼は才能がある。（　　）、努力を全くしない。,だから|しかし|つまり|なぜなら,しかし,"【接続詞】前後の文脈が「才能がある（プラス）」と「努力しない（マイナス）」なので、逆接の「しかし」が入ります。"
国語,次の漢字の正しい書き取りを選びなさい。 キセイ概念にとらわれない。,規制|帰省|既成|期成,既成,"【同音異義語】すでに出来上がっている概念のことなので「既成」となります。"
国語,古文の助動詞「る・らる」の意味に含まれないものを選びなさい。,受身|尊敬|自発|推量,推量,"【古典文法】「る・らる」の意味は「受身・尊敬・自発・可能」の4つ（るらる、うそじか、と覚える）です。推量は含まれません。"
国語,次の四字熟語の空欄に入る漢字を選びなさい。 「（　）骨奪胎」,完|換|観|歓,換,"【四字熟語】換骨奪胎（かんこつだったい）：先人の詩や文章の着想や形式を借りながら、独自の新しい作品を作り上げること。"
数学,2次方程式 $x^2 - kx + k + 3 = 0$ が重解をもつとき、定数 $k$ の値を求めよ。ただし $k > 0$ とする。,$k = 2$|$k = 4$|$k = 6$|$k = 8$,$k = 6$,"【2次方程式】判別式 $D = (-k)^2 - 4(1)(k+3) = 0$ より、$k^2 - 4k - 12 = 0$。$(k-6)(k+2)=0$ となり、$k>0$ より $k=6$。"
数学,大小2個のサイコロを同時に投げるとき、出る目の和が素数になる確率を求めよ。,$\frac{5}{12}$|$\frac{7}{36}$|$\frac{1}{3}$|$\frac{1}{2}$,$\frac{5}{12}$,"【確率】和が素数($2, 3, 5, 7, 11$)になる組み合わせを探します。和$2$(1通り), 和$3$(2通り), 和$5$(4通り), 和$7$(6通り), 和$11$(2通り)。合計15通り。$\frac{15}{36} = \frac{5}{12}$。"
数学,関数 $y = -x^2 + 4x + 1 \quad (0 \leqq x \leqq 3)$ の最大値と最小値を求めよ。,最大値$5$、最小値$1$|最大値$5$、最小値$-4$|最大値$4$、最小値$1$|最大値$4$、最小値$-4$,最大値$5$、最小値$1$,"【2次関数】平方完成すると $y = -(x-2)^2 + 5$。頂点は$(2, 5)$で範囲内。$x=0$ のとき $y=1$、$x=3$ のとき $y=4$。よって最大値$5$、最小値$1$。"
数学,等差数列 $5, 8, 11, 14, \dots$ の一般項 $a_n$ を求めよ。,$a_n = 3n + 2$|$a_n = 2n + 3$|$a_n = 3n - 2$|$a_n = 5n - 2$,$a_n = 3n + 2$,"【数列】初項 $a=5$, 公差 $d=3$ の等差数列。$a_n = a + (n-1)d$ より、$a_n = 5 + (n-1)3 = 3n + 2$。"
数学,正九角形の対角線の本数を求めよ。,$27$本|$36$本|$45$本|$54$本,$27$本,"【図形の性質/組合せ】$n$角形の対角線の本数は $\frac{n(n-3)}{2}$ で求められます。$9 \times \frac{6}{2} = 27$本。"
数学,$\sin\theta + \cos\theta = \frac{1}{2}$ のとき、$\sin\theta\cos\theta$ の値を求めよ。,$-\frac{3}{8}$|$-\frac{1}{4}$|$\frac{3}{8}$|$\frac{1}{4}$,$-\frac{3}{8}$,"【三角比】両辺を2乗すると、$\sin^2\theta + 2\sin\theta\cos\theta + \cos^2\theta = \frac{1}{4}$。$\sin^2\theta + \cos^2\theta = 1$ なので、$1 + 2\sin\theta\cos\theta = \frac{1}{4}$。よって $\sin\theta\cos\theta = -\frac{3}{8}$。"
数学,次のデータの中央値（メジアン）を求めよ。 $12, 15, 8, 20, 10, 18, 14$,$14$|$14.5$|$15.5$|$15$,$14$,"【データの分析】データを小さい順に並べます($8, 10, 12, 14, 15, 18, 20$)。データ数は7個。中央は4番目の値なので、$14$です。"
数学,ベクトル $\vec{a}=(2, 1), \vec{b}=(x, 3)$ が垂直であるとき、$x$ の値を求めよ。,$-\frac{3}{2}$|$\frac{3}{2}$|$-2$|$2$,$-\frac{3}{2}$,"【ベクトル】垂直条件は内積が$0$。$\vec{a} \cdot \vec{b} = 2x + 1 \times 3 = 0$。よって $2x = -3$、$x = -\frac{3}{2}$。"
数学,円 $x^2 + y^2 = 5$ と直線 $y = 2x + k$ が接するとき、定数 $k$ の値を求めよ。,$k = \pm 5$|$k = \pm 2$|$k = \pm \sqrt{5}$|$k = \pm 10$,$k = \pm 5$,"【図形と方程式】中心$(0,0)$から直線 $2x - y + k = 0$ までの距離が半径 $\sqrt{5}$ に等しい。$d = \frac{|k|}{\sqrt{2^2 + (-1)^2}} = \sqrt{5}$。$\frac{|k|}{\sqrt{5}} = \sqrt{5}$ より $|k| = 5$、よって $k = \pm 5$。"
